pagename,post_id,comment_id,comment
nytimes,5281959998_1919439628273550,1919439628273550_1922623777955135,Holger Ha Bubu Randalino Chino Carlito ‍
nytimes,5281959998_1918601078357405,1918601078357405_1918675228349990,Manu H Lima
nytimes,5281959998_10151309605854999,10151309605854999_1803378863285568,46 lahore
nytimes,5281959998_1920926231458223,1920926231458223_1921009311449915,Love  my sun.
nytimes,5281959998_10151309605854999,10151309605854999_10151309617264999,47 down tempo
nytimes,5281959998_1921423154741864,1921423154741864_1921995074684672,Kelly Lim
nytimes,5281959998_10151309605854999,10151309605854999_10151309624784999,57D UEY
nytimes,5281959998_1917761835107996,1917761835107996_1918244845059695,I'd appreciate it if god gave more than just arbitrary feelings.
nytimes,5281959998_10151315045359999,10151315045359999_10151315058724999,I'm loving this
nytimes,5281959998_1919439628273550,1919439628273550_1919479208269592,"You claim to know the truth and universally judge on things you did not even personally encounter. Your self-confidence is impressive. No one ever said everything is easy and good. No country whatsoever is without racism. Don't need to tell you about Britain first, right? So what's your point at all? We are giving our best in our communities. Only thing you do is taking away motivation and courage to make things better. If this is what you want, I sincerely congratulate you. If it's not (which I strongly hope and in fact believe), please reconsider your binary approach and don't focus on fingerpointing only. The latter is what makes it hard to believe in the good of humanity"
nytimes,5281959998_132791174027617,132791174027617_132960227344045,Mmmmm!!!!! Deliii!!
nytimes,5281959998_1920170831533763,1920170831533763_1920376918179821,Kay Kay Late that's not even CLOSE to true. Why would you say something so completely false?
nytimes,5281959998_184073478804176,184073478804176_1391444750953243,http://www.richroll.com/podcast/rrp-94-slomo-how-one-man-reinvented-himeself-wholesale-ruminations-on-simplicity-life-in-the-zone-the-great-iceberg-of-consciousness/
nytimes,5281959998_10151309605854999,10151309605854999_725425777668003,59 A - PIESHELL
nytimes,5281959998_1919520494932130,1919520494932130_1919584888259024,"Laura Melillo I can see you have none (conscience). But here's a copy of what I replied to someone else: Conscience is the sense of right and wrong, and in this case there is no right or wrong but personal preferences and leanings towards what others may see as right or wrong. I meant what I wrote, but because conscious is an adjective I should change it to consciousness. Conscious or consciousness means to be fully aware of or sensitive to something."
nytimes,5281959998_10151309605854999,10151309605854999_178377662728486,1 Down Tris
nytimes,5281959998_132791174027617,132791174027617_132921910681210,Fabiola Franco Pires :O
nytimes,5281959998_10151309605854999,10151309605854999_527228244282186,UEY - 57 down
nytimes,5281959998_1918268465057333,1918268465057333_1918298621720984,No comment (so sad)
nytimes,5281959998_10151316451979999,10151316451979999_10151316538474999,"Jeran Fox this guy lol ""Charles Goss: Where are these womens' husbands?!"""
nytimes,5281959998_1921313028086210,1921313028086210_1921316421419204,Michelle Buttars Your feelings are in need of catastrophes.
nytimes,5281959998_1919520494932130,1919520494932130_1919676601583186,His apartment is fantastique!
nytimes,5281959998_1919163081634538,1919163081634538_1919252911625555,He will go down in history as the FBI director who interfered in a presidential election
nytimes,5281959998_10151315045359999,10151315045359999_279559335880219,Can't believe I'm listening to Spain live!
nytimes,5281959998_1918679185016261,1918679185016261_1919006388316874,So so beautiful
nytimes,5281959998_1919439628273550,1919439628273550_1919690461581800,"Verde güey, la gente está bien loca"
nytimes,5281959998_10151315045359999,10151315045359999_356844984765176,What's this piece?
nytimes,5281959998_1918601078357405,1918601078357405_394360317648026,Ella Lau
nytimes,5281959998_1919439628273550,1919439628273550_1919699281580918,Absolute crap.
nytimes,5281959998_10151316451979999,10151316451979999_10151316556729999,Does anyone else feel like the feminist movement is so focused on women being equal in a male dominated world that we actually end up feeding the very machine that is ruining the planet? Meaning playing the game of incessant economic growth at the cost of the earth?
nytimes,5281959998_184073478804176,184073478804176_1494264834000794,Perhaps you should ask a certain somebody V_V
nytimes,5281959998_10151309605854999,10151309605854999_725422817668299,Katia Cecotosti
nytimes,5281959998_10151309605854999,10151309605854999_1803372586619529,7 down COPSE!!!!!
nytimes,5281959998_118439812199640,118439812199640_118789218831366,Go jackets
nytimes,5281959998_10151309605854999,10151309605854999_279856439178413,57 D uey
nytimes,5281959998_184073478804176,184073478804176_1876708195991197,Cade proprio a pennello ! E lui e' un figo. 
nytimes,5281959998_1918601078357405,1918601078357405_152675781990937,Love this
nytimes,5281959998_10151315045359999,10151315045359999_10151315061979999,Otroligt!!!
nytimes,5281959998_1919030691647777,1919030691647777_1919593241591522,Angela Merkel's conviction is admirable...
nytimes,5281959998_119890108721277,119890108721277_119909895385965,Sarah Maher
nytimes,5281959998_184073478804176,184073478804176_1981390672130927,Probably wasn't much of a doctor anyway!
nytimes,5281959998_10151311025844999,10151311025844999_10151311043794999,Thanks for the music !
nytimes,5281959998_10151310132129999,10151310132129999_1635853939779670,She is wonderful.
nytimes,5281959998_1918679185016261,1918679185016261_1919085808308932,Angela Chon tbt
