pagename,post_id,comment_id,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6
nytimes,5281959998_10151315045359999,10151315045359999_10151315081254999,0,0,0,0,3,0
nytimes,5281959998_10151315045359999,10151315045359999_279559335880219,0,0,0,0,3,0
nytimes,5281959998_10151315045359999,10151315045359999_356844984765176,0,0,0,0,3,0
nytimes,5281959998_10151316451979999,10151316451979999_10151316538474999,0,0,0,0,3,0
nytimes,5281959998_10151316451979999,10151316451979999_10151316556729999,0,0,0,1,2,0
nytimes,5281959998_10151316451979999,10151316451979999_10151316565264999,0,0,0,0,3,0
nytimes,5281959998_10151316451979999,10151316451979999_10151316688569999,0,0,0,0,3,0
nytimes,5281959998_118439812199640,118439812199640_118789218831366,0,0,0,0,3,0
nytimes,5281959998_119890108721277,119890108721277_119909895385965,0,0,0,0,3,0
nytimes,5281959998_132791174027617,132791174027617_132913897348678,0,0,0,0,2,1
nytimes,5281959998_132791174027617,132791174027617_132921910681210,0,0,0,0,2,1
nytimes,5281959998_132791174027617,132791174027617_132960227344045,0,0,0,0,3,0
nytimes,5281959998_132791174027617,132791174027617_133013860672015,0,0,0,0,3,0
nytimes,5281959998_184073478804176,184073478804176_1391444750953243,0,0,0,0,3,0
nytimes,5281959998_184073478804176,184073478804176_1494264834000794,0,0,0,0,3,0
nytimes,5281959998_184073478804176,184073478804176_184107478800776,0,0,0,0,3,0
nytimes,5281959998_184073478804176,184073478804176_184117792133078,0,0,0,0,3,0
nytimes,5281959998_184073478804176,184073478804176_184129168798607,0,0,0,0,3,0
nytimes,5281959998_184073478804176,184073478804176_1876708195991197,0,0,0,0,0,3
nytimes,5281959998_184073478804176,184073478804176_1981390672130927,0,2,0,0,1,0
nytimes,5281959998_184073478804176,184073478804176_297708600636876,0,0,0,0,3,0
nytimes,5281959998_184073478804176,184073478804176_426488394414216,0,0,0,0,3,0
nytimes,5281959998_1917761835107996,1917761835107996_1918244845059695,0,1,0,1,1,0
nytimes,5281959998_1917763905107789,1917763905107789_1917969905087189,0,0,0,0,3,0
nytimes,5281959998_1918141541736692,1918141541736692_1918273951723451,0,0,0,0,3,0
nytimes,5281959998_1918268465057333,1918268465057333_1918298621720984,0,0,0,0,3,0
nytimes,5281959998_1918268465057333,1918268465057333_1918307251720121,0,0,0,0,3,0
nytimes,5281959998_1918601078357405,1918601078357405_152675781990937,0,0,0,0,3,0
nytimes,5281959998_1918601078357405,1918601078357405_177370006165680,0,0,0,0,3,0
nytimes,5281959998_1918601078357405,1918601078357405_181989055707156,0,0,0,0,3,0
nytimes,5281959998_1918601078357405,1918601078357405_1918673265016853,0,0,0,0,3,0
nytimes,5281959998_1918601078357405,1918601078357405_1918675228349990,0,0,0,0,2,1
nytimes,5281959998_1918601078357405,1918601078357405_1918687271682119,0,0,0,0,3,0
nytimes,5281959998_1918601078357405,1918601078357405_1918695851681261,0,0,0,0,0,3
nytimes,5281959998_1918601078357405,1918601078357405_1918721058345407,0,0,0,0,3,0
nytimes,5281959998_1918601078357405,1918601078357405_1918783541672492,0,0,0,0,2,1
nytimes,5281959998_1918601078357405,1918601078357405_1987693661489253,0,0,0,0,1,2
nytimes,5281959998_1918601078357405,1918601078357405_295924994223281,0,0,0,0,3,0
nytimes,5281959998_1918601078357405,1918601078357405_394360317648026,0,0,0,0,2,1
nytimes,5281959998_1918679185016261,1918679185016261_175557309676693,0,0,0,0,3,0
nytimes,5281959998_1918679185016261,1918679185016261_1918945551656291,0,0,0,0,3,0
nytimes,5281959998_1918679185016261,1918679185016261_1918991748318338,0,0,0,0,3,0
nytimes,5281959998_1918679185016261,1918679185016261_1919006388316874,0,0,0,0,3,0
nytimes,5281959998_1918679185016261,1918679185016261_1919085808308932,0,0,0,0,2,1
nytimes,5281959998_1918679185016261,1918679185016261_1929829437342631,0,0,0,0,0,3
nytimes,5281959998_1918679185016261,1918679185016261_266779953830931,0,0,0,0,3,0
nytimes,5281959998_1918679185016261,1918679185016261_498995787144162,0,0,0,0,0,3
nytimes,5281959998_1918679185016261,1918679185016261_769160043286227,0,0,0,0,3,0
nytimes,5281959998_1918731105011069,1918731105011069_1918963434987836,2,1,0,0,0,0
nytimes,5281959998_1918960548321458,1918960548321458_1918985294985650,0,0,0,0,3,0
nytimes,5281959998_1919030691647777,1919030691647777_1919593241591522,0,0,0,1,2,0
nytimes,5281959998_1919163081634538,1919163081634538_1919252911625555,0,0,0,0,3,0
nytimes,5281959998_1919194918298021,1919194918298021_1919355811615265,0,0,0,0,0,3
nytimes,5281959998_1919439628273550,1919439628273550_1919452634938916,0,0,0,0,3,0
nytimes,5281959998_1919439628273550,1919439628273550_1919474181603428,1,0,0,1,1,0
nytimes,5281959998_1919439628273550,1919439628273550_1919479208269592,3,0,0,0,0,0
nytimes,5281959998_1919439628273550,1919439628273550_1919609784923201,0,2,0,0,1,0
nytimes,5281959998_1919439628273550,1919439628273550_1919690461581800,0,0,0,0,0,3
nytimes,5281959998_1919439628273550,1919439628273550_1919699281580918,1,1,0,1,0,0
nytimes,5281959998_1919439628273550,1919439628273550_1922623777955135,0,0,0,0,0,3
nytimes,5281959998_1919520494932130,1919520494932130_1919584888259024,3,0,0,0,0,0
nytimes,5281959998_1919520494932130,1919520494932130_1919676601583186,0,0,0,0,3,0
nytimes,5281959998_1919520494932130,1919520494932130_1919745848242928,0,1,0,0,2,0
nytimes,5281959998_1919850988232414,1919850988232414_1919926214891558,0,0,0,0,3,0
nytimes,5281959998_1920170831533763,1920170831533763_1920376918179821,2,0,0,1,0,0
nytimes,5281959998_1920170831533763,1920170831533763_1920510258166487,0,0,0,0,3,0
nytimes,5281959998_1920926231458223,1920926231458223_1921009311449915,0,0,0,0,3,0
nytimes,5281959998_1921313028086210,1921313028086210_1921316421419204,2,1,0,0,0,0
nytimes,5281959998_1921423154741864,1921423154741864_1921494991401347,0,0,0,0,3,0
nytimes,5281959998_1921423154741864,1921423154741864_1921736784710501,0,0,0,0,2,1
nytimes,5281959998_1921423154741864,1921423154741864_1921842661366580,0,0,0,0,3,0
nytimes,5281959998_1921423154741864,1921423154741864_1921995074684672,0,0,0,0,3,0
