"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.pagename","Input.post_id","Input.comment_id","Input.comment","Answer.Language","Answer.question","Approve","Reject"
"31YWE12TE0V7J7W8ME9ZCIYWUM5X7N","3TAMZSB5GQN1EGA6C5OLWP7GSLEQX7","Measure civility in news discussions through personal attacks","In this HIT we will ask you to read a comment from a Facebook conversation and judge whether the comment includes a personal attack. Please select all that apply (at least one should)","news discussions, facebook comments, classification","$0.10","Thu Oct 05 09:26:30 PDT 2017","3","BatchId:2961491;OriginalHitTemplateId:920937336;","3600","259200","Thu Oct 12 09:26:30 PDT 2017","","","3K2755HG5TN9ME4R3ZB0UN38W49DFP","A2T5CROJ0FWIJY","Submitted","Thu Oct 05 09:27:56 PDT 2017","Thu Oct 05 09:33:42 PDT 2017","Sun Oct 08 09:33:42 PDT 2017","","","","346","0% (0/0)","0% (0/0)","0% (0/0)","nytimes","5281959998_184073478804176","184073478804176_184129168798607","Alyson Hayden Haley Azevedo Lauren Mottles","nytimes|5281959998_184073478804176|184073478804176_184129168798607|Alyson Hayden Haley Azevedo Lauren Mottles","5"
"31YWE12TE0V7J7W8ME9ZCIYWUM5X7N","3TAMZSB5GQN1EGA6C5OLWP7GSLEQX7","Measure civility in news discussions through personal attacks","In this HIT we will ask you to read a comment from a Facebook conversation and judge whether the comment includes a personal attack. Please select all that apply (at least one should)","news discussions, facebook comments, classification","$0.10","Thu Oct 05 09:26:30 PDT 2017","3","BatchId:2961491;OriginalHitTemplateId:920937336;","3600","259200","Thu Oct 12 09:26:30 PDT 2017","","","3OLF68YTNALBO71FJPKY4MV2B1CAFK","A9K0CV70JWG1W","Submitted","Thu Oct 05 09:27:34 PDT 2017","Thu Oct 05 09:27:57 PDT 2017","Sun Oct 08 09:27:57 PDT 2017","","","","23","0% (0/0)","0% (0/0)","0% (0/0)","nytimes","5281959998_184073478804176","184073478804176_184129168798607","Alyson Hayden Haley Azevedo Lauren Mottles","nytimes|5281959998_184073478804176|184073478804176_184129168798607|Alyson Hayden Haley Azevedo Lauren Mottles","5"
"32204AGAABVTQA7UADV7F9NV5Z6HGI","3TAMZSB5GQN1EGA6C5OLWP7GSLEQX7","Measure civility in news discussions through personal attacks","In this HIT we will ask you to read a comment from a Facebook conversation and judge whether the comment includes a personal attack. Please select all that apply (at least one should)","news discussions, facebook comments, classification","$0.10","Thu Oct 05 09:26:33 PDT 2017","3","BatchId:2961491;OriginalHitTemplateId:920937336;","3600","259200","Thu Oct 12 09:26:33 PDT 2017","","","36V4Q8R5ZLK9HX0DU8LXPCUGCK9QMD","A9K0CV70JWG1W","Submitted","Thu Oct 05 09:27:42 PDT 2017","Thu Oct 05 09:28:15 PDT 2017","Sun Oct 08 09:28:15 PDT 2017","","","","33","0% (0/0)","0% (0/0)","0% (0/0)","nytimes","5281959998_1918601078357405","1918601078357405_152675781990937","Love this","nytimes|5281959998_1918601078357405|1918601078357405_152675781990937|Love this","5"
"32204AGAABVTQA7UADV7F9NV5Z6HGI","3TAMZSB5GQN1EGA6C5OLWP7GSLEQX7","Measure civility in news discussions through personal attacks","In this HIT we will ask you to read a comment from a Facebook conversation and judge whether the comment includes a personal attack. Please select all that apply (at least one should)","news discussions, facebook comments, classification","$0.10","Thu Oct 05 09:26:33 PDT 2017","3","BatchId:2961491;OriginalHitTemplateId:920937336;","3600","259200","Thu Oct 12 09:26:33 PDT 2017","","","3PJUZCGDJ70O49HNJ50SYZ3WIFH89M","A3GLMBZSG3VU4P","Submitted","Thu Oct 05 09:27:48 PDT 2017","Thu Oct 05 09:28:23 PDT 2017","Sun Oct 08 09:28:23 PDT 2017","","","","35","0% (0/0)","0% (0/0)","0% (0/0)","nytimes","5281959998_1918601078357405","1918601078357405_152675781990937","Love this","nytimes|5281959998_1918601078357405|1918601078357405_152675781990937|Love this","5"
"32204AGAABVTQA7UADV7F9NV5Z6HGI","3TAMZSB5GQN1EGA6C5OLWP7GSLEQX7","Measure civility in news discussions through personal attacks","In this HIT we will ask you to read a comment from a Facebook conversation and judge whether the comment includes a personal attack. Please select all that apply (at least one should)","news discussions, facebook comments, classification","$0.10","Thu Oct 05 09:26:33 PDT 2017","3","BatchId:2961491;OriginalHitTemplateId:920937336;","3600","259200","Thu Oct 12 09:26:33 PDT 2017","","","3Q5ZZ9ZEVPZ53MFBGFNBMJYUWJY85V","A2T5CROJ0FWIJY","Submitted","Thu Oct 05 09:27:45 PDT 2017","Thu Oct 05 09:30:16 PDT 2017","Sun Oct 08 09:30:16 PDT 2017","","","","151","0% (0/0)","0% (0/0)","0% (0/0)","nytimes","5281959998_1918601078357405","1918601078357405_152675781990937","Love this","nytimes|5281959998_1918601078357405|1918601078357405_152675781990937|Love this","5"
"32ZCLEW0BZ3VUTVJ1WOFLVH2JIXJPT","3TAMZSB5GQN1EGA6C5OLWP7GSLEQX7","Measure civility in news discussions through personal attacks","In this HIT we will ask you to read a comment from a Facebook conversation and judge whether the comment includes a personal attack. Please select all that apply (at least one should)","news discussions, facebook comments, classification","$0.10","Thu Oct 05 09:26:32 PDT 2017","3","BatchId:2961491;OriginalHitTemplateId:920937336;","3600","259200","Thu Oct 12 09:26:32 PDT 2017","","","3PJ71Z61R5M6T9X2KKRDJPGO49B19V","A3UWM3KJYEL5XU","Submitted","Thu Oct 05 09:27:40 PDT 2017","Thu Oct 05 09:28:12 PDT 2017","Sun Oct 08 09:28:12 PDT 2017","","","","32","0% (0/0)","0% (0/0)","0% (0/0)","nytimes","5281959998_1919520494932130","1919520494932130_1919676601583186","His apartment is fantastique!","nytimes|5281959998_1919520494932130|1919520494932130_1919676601583186|His apartment is fantastique!","5"
"32ZCLEW0BZ3VUTVJ1WOFLVH2JIXJPT","3TAMZSB5GQN1EGA6C5OLWP7GSLEQX7","Measure civility in news discussions through personal attacks","In this HIT we will ask you to read a comment from a Facebook conversation and judge whether the comment includes a personal attack. Please select all that apply (at least one should)","news discussions, facebook comments, classification","$0.10","Thu Oct 05 09:26:32 PDT 2017","3","BatchId:2961491;OriginalHitTemplateId:920937336;","3600","259200","Thu Oct 12 09:26:32 PDT 2017","","","3STRJBFXOXBRJPS2Q02CF4DZ7MDTKP","A1EQ2HDHF2WWSY","Submitted","Thu Oct 05 09:27:40 PDT 2017","Thu Oct 05 09:31:31 PDT 2017","Sun Oct 08 09:31:31 PDT 2017","","","","231","0% (0/0)","0% (0/0)","0% (0/0)","nytimes","5281959998_1919520494932130","1919520494932130_1919676601583186","His apartment is fantastique!","nytimes|5281959998_1919520494932130|1919520494932130_1919676601583186|His apartment is fantastique!","5"
"32ZCLEW0BZ3VUTVJ1WOFLVH2JIXJPT","3TAMZSB5GQN1EGA6C5OLWP7GSLEQX7","Measure civility in news discussions through personal attacks","In this HIT we will ask you to read a comment from a Facebook conversation and judge whether the comment includes a personal attack. Please select all that apply (at least one should)","news discussions, facebook comments, classification","$0.10","Thu Oct 05 09:26:32 PDT 2017","3","BatchId:2961491;OriginalHitTemplateId:920937336;","3600","259200","Thu Oct 12 09:26:32 PDT 2017","","","3WAKVUDHUX0ION077B3DGVUFKGL7UP","A273DS7TQWR9M1","Submitted","Thu Oct 05 09:27:21 PDT 2017","Thu Oct 05 09:28:47 PDT 2017","Sun Oct 08 09:28:47 PDT 2017","","","","86","0% (0/0)","0% (0/0)","0% (0/0)","nytimes","5281959998_1919520494932130","1919520494932130_1919676601583186","His apartment is fantastique!","nytimes|5281959998_1919520494932130|1919520494932130_1919676601583186|His apartment is fantastique!","5"
"335HHSX8CDOQEQX38NUZ9OKYS7QHD8","3TAMZSB5GQN1EGA6C5OLWP7GSLEQX7","Measure civility in news discussions through personal attacks","In this HIT we will ask you to read a comment from a Facebook conversation and judge whether the comment includes a personal attack. Please select all that apply (at least one should)","news discussions, facebook comments, classification","$0.10","Thu Oct 05 09:26:32 PDT 2017","3","BatchId:2961491;OriginalHitTemplateId:920937336;","3600","259200","Thu Oct 12 09:26:32 PDT 2017","","","3UJ1CZ6IZI9NM6UKUDTG3AYV8D55SS","A3UWM3KJYEL5XU","Submitted","Thu Oct 05 09:28:38 PDT 2017","Thu Oct 05 09:29:10 PDT 2017","Sun Oct 08 09:29:10 PDT 2017","","","","32","0% (0/0)","0% (0/0)","0% (0/0)","nytimes","5281959998_1917761835107996","1917761835107996_1918244845059695","I'd appreciate it if god gave more than just arbitrary feelings.","nytimes|5281959998_1917761835107996|1917761835107996_1918244845059695|I'd appreciate it if god gave more than just arbitrary feelings.","2"
"335HHSX8CDOQEQX38NUZ9OKYS7QHD8","3TAMZSB5GQN1EGA6C5OLWP7GSLEQX7","Measure civility in news discussions through personal attacks","In this HIT we will ask you to read a comment from a Facebook conversation and judge whether the comment includes a personal attack. Please select all that apply (at least one should)","news discussions, facebook comments, classification","$0.10","Thu Oct 05 09:26:32 PDT 2017","3","BatchId:2961491;OriginalHitTemplateId:920937336;","3600","259200","Thu Oct 12 09:26:32 PDT 2017","","","3WSELTNVR4ML7CJGE9PNLQA32AKATS","A9K0CV70JWG1W","Submitted","Thu Oct 05 09:28:03 PDT 2017","Thu Oct 05 09:30:52 PDT 2017","Sun Oct 08 09:30:52 PDT 2017","","","","169","0% (0/0)","0% (0/0)","0% (0/0)","nytimes","5281959998_1917761835107996","1917761835107996_1918244845059695","I'd appreciate it if god gave more than just arbitrary feelings.","nytimes|5281959998_1917761835107996|1917761835107996_1918244845059695|I'd appreciate it if god gave more than just arbitrary feelings.","4"
"335HHSX8CDOQEQX38NUZ9OKYS7QHD8","3TAMZSB5GQN1EGA6C5OLWP7GSLEQX7","Measure civility in news discussions through personal attacks","In this HIT we will ask you to read a comment from a Facebook conversation and judge whether the comment includes a personal attack. Please select all that apply (at least one should)","news discussions, facebook comments, classification","$0.10","Thu Oct 05 09:26:32 PDT 2017","3","BatchId:2961491;OriginalHitTemplateId:920937336;","3600","259200","Thu Oct 12 09:26:32 PDT 2017","","","3YW4XOSQKR54D1L5IVM4FL32HUL1UM","A20ALQT1HIVSAH","Submitted","Thu Oct 05 09:28:06 PDT 2017","Thu Oct 05 09:28:10 PDT 2017","Sun Oct 08 09:28:10 PDT 2017","","","","4","0% (0/0)","0% (0/0)","0% (0/0)","nytimes","5281959998_1917761835107996","1917761835107996_1918244845059695","I'd appreciate it if god gave more than just arbitrary feelings.","nytimes|5281959998_1917761835107996|1917761835107996_1918244845059695|I'd appreciate it if god gave more than just arbitrary feelings.","5"
"335VBRURDJJ2RQTK66HR2P4V96J9E3","3TAMZSB5GQN1EGA6C5OLWP7GSLEQX7","Measure civility in news discussions through personal attacks","In this HIT we will ask you to read a comment from a Facebook conversation and judge whether the comment includes a personal attack. Please select all that apply (at least one should)","news discussions, facebook comments, classification","$0.10","Thu Oct 05 09:26:33 PDT 2017","3","BatchId:2961491;OriginalHitTemplateId:920937336;","3600","259200","Thu Oct 12 09:26:33 PDT 2017","","","3FPRZHYEPZR00JOKAPASZ0KITL83V5","A3V5IIPZ95YVKH","Submitted","Thu Oct 05 09:28:08 PDT 2017","Thu Oct 05 09:29:26 PDT 2017","Sun Oct 08 09:29:26 PDT 2017","","","","78","0% (0/0)","0% (0/0)","0% (0/0)","nytimes","5281959998_10151310132129999","10151310132129999_1635853939779670","She is wonderful.","nytimes|5281959998_10151310132129999|10151310132129999_1635853939779670|She is wonderful.","5"
"335VBRURDJJ2RQTK66HR2P4V96J9E3","3TAMZSB5GQN1EGA6C5OLWP7GSLEQX7","Measure civility in news discussions through personal attacks","In this HIT we will ask you to read a comment from a Facebook conversation and judge whether the comment includes a personal attack. Please select all that apply (at least one should)","news discussions, facebook comments, classification","$0.10","Thu Oct 05 09:26:33 PDT 2017","3","BatchId:2961491;OriginalHitTemplateId:920937336;","3600","259200","Thu Oct 12 09:26:33 PDT 2017","","","3GD6L00D3THL0TGW9TVIOBM848IM1F","A273DS7TQWR9M1","Submitted","Thu Oct 05 09:30:17 PDT 2017","Thu Oct 05 09:34:14 PDT 2017","Sun Oct 08 09:34:14 PDT 2017","","","","237","0% (0/0)","0% (0/0)","0% (0/0)","nytimes","5281959998_10151310132129999","10151310132129999_1635853939779670","She is wonderful.","nytimes|5281959998_10151310132129999|10151310132129999_1635853939779670|She is wonderful.","5"
"335VBRURDJJ2RQTK66HR2P4V96J9E3","3TAMZSB5GQN1EGA6C5OLWP7GSLEQX7","Measure civility in news discussions through personal attacks","In this HIT we will ask you to read a comment from a Facebook conversation and judge whether the comment includes a personal attack. Please select all that apply (at least one should)","news discussions, facebook comments, classification","$0.10","Thu Oct 05 09:26:33 PDT 2017","3","BatchId:2961491;OriginalHitTemplateId:920937336;","3600","259200","Thu Oct 12 09:26:33 PDT 2017","","","3Z3ZLGNNSJE8VBS3OQGITDLACTSQ3X","A177EXELDLWTWV","Submitted","Thu Oct 05 09:27:06 PDT 2017","Thu Oct 05 09:27:22 PDT 2017","Sun Oct 08 09:27:22 PDT 2017","","","","16","0% (0/0)","0% (0/0)","0% (0/0)","nytimes","5281959998_10151310132129999","10151310132129999_1635853939779670","She is wonderful.","nytimes|5281959998_10151310132129999|10151310132129999_1635853939779670|She is wonderful.","5"
"337F8MIIMZW23U8EH4ML0SRBTDV04C","3TAMZSB5GQN1EGA6C5OLWP7GSLEQX7","Measure civility in news discussions through personal attacks","In this HIT we will ask you to read a comment from a Facebook conversation and judge whether the comment includes a personal attack. Please select all that apply (at least one should)","news discussions, facebook comments, classification","$0.10","Thu Oct 05 09:26:33 PDT 2017","3","BatchId:2961491;OriginalHitTemplateId:920937336;","3600","259200","Thu Oct 12 09:26:33 PDT 2017","","","3DBQWDE4Y7IQ6T2FMHCU4GOPLEX5NG","A3UWM3KJYEL5XU","Submitted","Thu Oct 05 09:28:00 PDT 2017","Thu Oct 05 09:28:55 PDT 2017","Sun Oct 08 09:28:55 PDT 2017","","","","55","0% (0/0)","0% (0/0)","0% (0/0)","nytimes","5281959998_10151309605854999","10151309605854999_279856439178413","57 D uey","nytimes|5281959998_10151309605854999|10151309605854999_279856439178413|57 D uey","6"
"337F8MIIMZW23U8EH4ML0SRBTDV04C","3TAMZSB5GQN1EGA6C5OLWP7GSLEQX7","Measure civility in news discussions through personal attacks","In this HIT we will ask you to read a comment from a Facebook conversation and judge whether the comment includes a personal attack. Please select all that apply (at least one should)","news discussions, facebook comments, classification","$0.10","Thu Oct 05 09:26:33 PDT 2017","3","BatchId:2961491;OriginalHitTemplateId:920937336;","3600","259200","Thu Oct 12 09:26:33 PDT 2017","","","3LWJHTCVCD63BN8W8LHKUMA7FJXQF6","A177EXELDLWTWV","Submitted","Thu Oct 05 09:27:34 PDT 2017","Thu Oct 05 09:29:00 PDT 2017","Sun Oct 08 09:29:00 PDT 2017","","","","86","0% (0/0)","0% (0/0)","0% (0/0)","nytimes","5281959998_10151309605854999","10151309605854999_279856439178413","57 D uey","nytimes|5281959998_10151309605854999|10151309605854999_279856439178413|57 D uey","5"
"337F8MIIMZW23U8EH4ML0SRBTDV04C","3TAMZSB5GQN1EGA6C5OLWP7GSLEQX7","Measure civility in news discussions through personal attacks","In this HIT we will ask you to read a comment from a Facebook conversation and judge whether the comment includes a personal attack. Please select all that apply (at least one should)","news discussions, facebook comments, classification","$0.10","Thu Oct 05 09:26:33 PDT 2017","3","BatchId:2961491;OriginalHitTemplateId:920937336;","3600","259200","Thu Oct 12 09:26:33 PDT 2017","","","3MB8LZR5BGD30CKXHR0LTD3ID9SLKF","A273DS7TQWR9M1","Submitted","Thu Oct 05 09:28:25 PDT 2017","Thu Oct 05 09:30:47 PDT 2017","Sun Oct 08 09:30:47 PDT 2017","","","","142","0% (0/0)","0% (0/0)","0% (0/0)","nytimes","5281959998_10151309605854999","10151309605854999_279856439178413","57 D uey","nytimes|5281959998_10151309605854999|10151309605854999_279856439178413|57 D uey","6"
"33K3E8REWWEBJL1RWJ15QIUR56BX8A","3TAMZSB5GQN1EGA6C5OLWP7GSLEQX7","Measure civility in news discussions through personal attacks","In this HIT we will ask you to read a comment from a Facebook conversation and judge whether the comment includes a personal attack. Please select all that apply (at least one should)","news discussions, facebook comments, classification","$0.10","Thu Oct 05 09:26:30 PDT 2017","3","BatchId:2961491;OriginalHitTemplateId:920937336;","3600","259200","Thu Oct 12 09:26:30 PDT 2017","","","3HPZF4IVNND5HDF88T8DZ2S6HFMYC6","A177EXELDLWTWV","Submitted","Thu Oct 05 09:27:08 PDT 2017","Thu Oct 05 09:27:25 PDT 2017","Sun Oct 08 09:27:25 PDT 2017","","","","17","0% (0/0)","0% (0/0)","0% (0/0)","nytimes","5281959998_1918601078357405","1918601078357405_1987693661489253","Vallecas","nytimes|5281959998_1918601078357405|1918601078357405_1987693661489253|Vallecas","6"
